Business Name,Website,Logo,Category
Abu Dhabi Catalyst Partners,www.adcatalystpartners.com,,Private Equity
Abu Dhabi Investment Council,www.adcouncil.ae/,,Private Equity
Abu Dhabi Investment Office,www.investinabudhabi.ae/,,Private Equity
Accenture,https://www.accenture.com/ae-en,,Private Equity
ADQ,https://www.adq.ae,,Private Equity
Afra Capital,,,Private Equity
Al-Futtaim Private Company LLC,,,Private Equity
Alcazar Capital Limited,www.alcazar-capital.com,,Private Equity
Alcazar Capital Private Equity,,,Private Equity
Audacia Capital,www.audaciacapital.com/app/,,Private Equity
Bester Capital Investment Group,www.bestercapital.com,,Private Equity
Bid Capital,www.bidcapitals.com/,,Private Equity
Cedar Bridge Partners,www.cedar-bridge.com,,Private Equity
Duet Group,,,Private Equity
First Capital Group Holding Limited (DIFC),www.firstcapitalgroup.com/,,Private Equity
Genero,wwwgenero.ae,,Private Equity
Gulf Capital,www.gulfcapital.com/en-US/1/1/Home,,Private Equity
HPS,,,Private Equity
Mara Group,www.maraphones.com/,,Private Equity
Mubadala,,,Private Equity
Private Equity,,,Private Equity
Samena Capital,www.samenacapital.com,,Private Equity
Strategic Partners,,,Private Equity
The Alpha Group,,,Private Equity
The National Investor (Dubai) Ltd.,www.tni.ae,,Private Equity
Access Bridge Partners,www.access-bridge.com,,Venture Capital
Al Masah Capital Ltd,,,Venture Capital
Almal Capital,,,Venture Capital
ALPHABIT,,,Venture Capital
ARZAN VENTURE CAPITAL,,,Venture Capital
Arzan VENTURE CAPITAL,,,Venture Capital
ASA Ventures,www.asa.ventures,,Venture Capital
ASA Ventures,,,Venture Capital
Awad Capital Ltd.,,,Venture Capital
BECO Capital,,,Venture Capital
BECO Capital,,,Venture Capital
Beco Capital,,,Venture Capital
Bekaert Emirates LLC,,,Venture Capital
Blue Triangle Capital,,,Venture Capital
bnymellon,,,Venture Capital
Bridge Partners,,,Venture Capital
capital invest,,,Venture Capital
Chalhoub Group,,,Venture Capital
Class 5 Global,https://www.class5global.com,,Venture Capital
DIFC Fintech Fund,www.fintechfund.difc.ae,,Venture Capital
Digital Spring Ventures,www.dsventures.com,,Venture Capital
DTEC Ventures,www.dtec.ae/dtec-ventures,,Venture Capital
DTEC Ventures,,,Venture Capital
Dubai Silicon Oasis Fund,www.dsoa.ae,,Venture Capital
E11 Capital,https://www.e11.capital,,Venture Capital
Eligent Lab,,,Venture Capital
Elixir Group,https://elixir.ae,,Venture Capital
Enabling Future,,,Venture Capital
Five Capital,www.fivecap.com/,,Venture Capital
Flat6labs,,,Venture Capital
Floranow,,,Venture Capital
Fox Ventures,,,Venture Capital
FundedByMe,,,Venture Capital
FundedbyMe,,,Venture Capital
FundedbyMe,,,Venture Capital
Global Ventures,www.global.vc,,Venture Capital
Honey Bee Tech Ventures,www.hbtventures.com/,,Venture Capital
HSBC,,,Venture Capital
HSBC ,,,Venture Capital
HUB71,,,Venture Capital
HUB71,,,Venture Capital
Iliad Partners,www.iliad-partners.com/,,Venture Capital
Iris Capital,www.iriscapital.com/en/,,Venture Capital
Jisr Venture Partners,www.jisrpartners.com,,Venture Capital
Kaaf Investments,www.kaafinvestments.com/,,Venture Capital
Knuru Capital,www.knuru.com/,,Venture Capital
Leyden Ventures,www.leyden.ventures/,,Venture Capital
MEVP,,,Venture Capital
MEVP,,,Venture Capital
MEVP,,,Venture Capital
MINDSHIFT Capital,www.mindshiftcapital.com,,Venture Capital
Nuwa Capital,www.nuwacapital.io,,Venture Capital
Precinct Partners,www.precinctpartners.com,,Venture Capital
Rain Making,,,Venture Capital
Rain Making,,,Venture Capital
RUSD Capital,www.rusdcapital.com/,,Venture Capital
SANAD,,,Venture Capital
Shorooq,,,Venture Capital
Shorooq,,,Venture Capital
Shorooq Investments,www.shorooq.ae,,Venture Capital
SoftBank,,,Venture Capital
Spartech Ventures,,,Venture Capital
Startup Bootcamp,,,Venture Capital
Sumitomo Corporation Middle East FZCO,,,Venture Capital
Techstars,,,Venture Capital
TURN8,www.turn8.co/,,Venture Capital
Valour Ventures,www.valour-ventures.com,,Venture Capital
Ventures Search,,,Venture Capital
Vestigos,,,Venture Capital
Wamda,,,Venture Capital
Wamda,,,Venture Capital
Wamda Capital,www.wamdacapital.com,,Venture Capital
Wamda Capital,,,Venture Capital
ZtartUpNetwork,,,Venture Capital
Astia,www.astia.org/,,Venture Capital
Breyer Capital,www.breyercapital.com/,,Venture Capital
CrowdEndue,https://www.f6s.com/crowdendue,,Crowdfunding
